,count,mean,std,rsd,bill_per,public_bill_per,pos_cnt_per,loss_ratio_per
0,398.0,282.0,107.0,38.0,30.0,17.0,30.0,30.0
1,398.0,254.0,91.0,36.0,37.0,12.0,37.0,37.0
2,398.0,266.0,91.0,34.0,31.0,10.0,29.0,26.0
3,398.0,249.0,86.0,35.0,29.0,10.0,28.0,24.0
4,398.0,183.0,126.0,69.0,43.0,29.0,42.0,37.0
5,398.0,226.0,84.0,37.0,44.0,22.0,44.0,44.0
6,398.0,341.0,133.0,39.0,33.0,25.0,31.0,30.0
7,398.0,349.0,140.0,40.0,33.0,23.0,31.0,30.0
8,398.0,235.0,85.0,36.0,29.0,10.0,30.0,23.0
9,398.0,246.0,88.0,36.0,30.0,10.0,29.0,25.0
10,398.0,255.0,94.0,37.0,37.0,13.0,37.0,37.0
11,398.0,284.0,111.0,39.0,30.0,17.0,30.0,30.0
12,93.0,162.0,55.0,34.0,63.0,62.0,63.0,64.0
13,93.0,151.0,47.0,31.0,66.0,65.0,66.0,67.0
14,93.0,160.0,48.0,30.0,61.0,58.0,61.0,61.0
15,93.0,149.0,44.0,30.0,63.0,62.0,63.0,63.0
16,93.0,97.0,75.0,77.0,76.0,76.0,76.0,76.0
17,93.0,127.0,48.0,38.0,75.0,75.0,75.0,75.0
18,93.0,185.0,71.0,38.0,69.0,68.0,69.0,69.0
19,93.0,192.0,77.0,40.0,68.0,66.0,67.0,68.0
20,93.0,136.0,47.0,35.0,67.0,66.0,67.0,67.0
21,93.0,140.0,50.0,36.0,66.0,65.0,66.0,66.0
22,93.0,143.0,53.0,37.0,68.0,68.0,68.0,69.0
23,93.0,162.0,60.0,37.0,64.0,62.0,63.0,64.0
24,278.0,302.0,72.0,24.0,28.0,13.0,27.0,27.0
25,278.0,270.0,58.0,21.0,33.0,10.0,33.0,33.0
26,278.0,283.0,59.0,21.0,30.0,10.0,30.0,30.0
27,278.0,266.0,59.0,22.0,31.0,10.0,30.0,29.0
28,278.0,194.0,118.0,61.0,43.0,28.0,45.0,39.0
29,278.0,244.0,55.0,23.0,40.0,10.0,40.0,40.0
30,278.0,370.0,92.0,25.0,28.0,18.0,26.0,26.0
31,278.0,381.0,104.0,27.0,28.0,16.0,26.0,26.0
32,278.0,253.0,53.0,21.0,30.0,10.0,30.0,27.0
33,278.0,265.0,55.0,21.0,31.0,10.0,31.0,29.0
34,278.0,277.0,64.0,23.0,32.0,10.0,32.0,32.0
35,278.0,306.0,84.0,27.0,28.0,13.0,27.0,26.0
36,27.0,490.0,92.0,19.0,57.0,42.0,56.0,57.0
37,27.0,440.0,83.0,19.0,59.0,47.0,58.0,59.0
38,27.0,447.0,59.0,13.0,49.0,31.0,48.0,49.0
39,27.0,408.0,52.0,13.0,51.0,36.0,50.0,51.0
40,27.0,362.0,115.0,32.0,56.0,47.0,56.0,56.0
41,27.0,379.0,67.0,18.0,66.0,60.0,66.0,67.0
42,27.0,575.0,106.0,18.0,56.0,40.0,56.0,57.0
43,27.0,566.0,122.0,22.0,57.0,41.0,57.0,57.0
44,27.0,396.0,72.0,18.0,52.0,39.0,50.0,52.0
45,27.0,415.0,67.0,16.0,50.0,35.0,50.0,50.0
46,27.0,416.0,62.0,15.0,60.0,50.0,60.0,60.0
47,27.0,472.0,74.0,16.0,58.0,44.0,57.0,58.0
48,371.0,267.0,91.0,34.0,34.0,12.0,34.0,34.0
49,371.0,240.0,76.0,32.0,41.0,10.0,41.0,41.0
50,371.0,252.0,78.0,31.0,29.0,10.0,29.0,24.0
51,371.0,237.0,75.0,32.0,28.0,10.0,28.0,24.0
52,371.0,170.0,117.0,69.0,44.0,31.0,38.0,38.0
53,371.0,214.0,73.0,34.0,47.0,23.0,47.0,47.0
54,371.0,324.0,118.0,36.0,34.0,29.0,32.0,32.0
55,371.0,334.0,128.0,38.0,34.0,27.0,32.0,31.0
56,371.0,223.0,73.0,33.0,28.0,10.0,29.0,23.0
57,371.0,233.0,76.0,33.0,28.0,10.0,29.0,24.0
58,371.0,243.0,84.0,35.0,40.0,10.0,40.0,40.0
59,371.0,270.0,100.0,37.0,33.0,13.0,33.0,33.0
60,120.0,236.0,152.0,64.0,49.0,42.0,43.0,46.0
61,120.0,216.0,134.0,62.0,51.0,47.0,47.0,49.0
62,120.0,225.0,131.0,58.0,45.0,38.0,43.0,45.0
63,120.0,207.0,118.0,57.0,49.0,40.0,44.0,48.0
64,120.0,157.0,140.0,89.0,61.0,60.0,61.0,10.0
65,120.0,184.0,118.0,64.0,61.0,58.0,59.0,60.0
66,120.0,272.0,182.0,67.0,55.0,49.0,53.0,14.0
67,120.0,276.0,180.0,65.0,55.0,48.0,52.0,53.0
68,120.0,194.0,122.0,63.0,52.0,45.0,48.0,51.0
69,120.0,202.0,127.0,63.0,50.0,43.0,47.0,50.0
70,120.0,204.0,127.0,62.0,54.0,50.0,50.0,52.0
71,120.0,232.0,144.0,62.0,49.0,43.0,44.0,47.0
72,199.0,284.0,111.0,39.0,34.0,30.0,33.0,31.0
73,199.0,255.0,91.0,36.0,37.0,28.0,37.0,37.0
74,199.0,268.0,86.0,32.0,34.0,10.0,34.0,33.0
75,199.0,250.0,80.0,32.0,36.0,10.0,35.0,32.0
76,199.0,139.0,129.0,93.0,61.0,55.0,56.0,58.0
77,199.0,219.0,81.0,37.0,46.0,46.0,46.0,46.0
78,199.0,328.0,123.0,38.0,37.0,28.0,35.0,35.0
79,199.0,370.0,146.0,39.0,34.0,18.0,32.0,31.0
80,199.0,231.0,81.0,35.0,36.0,10.0,36.0,32.0
81,199.0,239.0,85.0,36.0,36.0,10.0,35.0,32.0
82,199.0,253.0,94.0,37.0,37.0,29.0,37.0,37.0
83,199.0,289.0,116.0,40.0,33.0,28.0,32.0,30.0
84,46.0,165.0,66.0,40.0,76.0,75.0,75.0,76.0
85,46.0,156.0,54.0,35.0,77.0,76.0,77.0,77.0
86,46.0,167.0,53.0,32.0,68.0,67.0,68.0,69.0
87,46.0,154.0,50.0,32.0,71.0,71.0,71.0,71.0
88,46.0,72.0,75.0,104.0,101.0,101.0,101.0,101.0
89,46.0,124.0,55.0,44.0,101.0,101.0,101.0,101.0
90,46.0,181.0,79.0,44.0,79.0,78.0,79.0,79.0
91,46.0,199.0,97.0,49.0,77.0,76.0,77.0,77.0
92,46.0,135.0,54.0,40.0,75.0,75.0,75.0,75.0
93,46.0,141.0,59.0,42.0,74.0,74.0,74.0,74.0
94,46.0,141.0,62.0,44.0,80.0,79.0,80.0,80.0
95,46.0,166.0,71.0,43.0,76.0,75.0,75.0,76.0
96,60.0,231.0,158.0,68.0,62.0,57.0,59.0,61.0
97,60.0,214.0,136.0,64.0,64.0,60.0,62.0,63.0
98,60.0,218.0,119.0,55.0,54.0,50.0,51.0,53.0
99,60.0,199.0,106.0,53.0,57.0,54.0,55.0,57.0
100,60.0,112.0,133.0,119.0,78.0,78.0,78.0,78.0
101,60.0,166.0,110.0,66.0,75.0,74.0,74.0,75.0
102,60.0,247.0,162.0,66.0,67.0,65.0,67.0,14.0
103,60.0,274.0,184.0,67.0,64.0,60.0,63.0,12.0
